datetime,date,time,temp,weather,wind,wind_direction,humidity,pressure,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2021-01-03 16:00:00,2021-01-03,16:00,32.0,Scattered clouds.,4,0.0,49.0,1007.0,5,1695.63,9.72,87.74,0.13,73.43,83.22,111.65,17.99
2021-01-03 17:00:00,2021-01-03,17:00,30.0,Scattered clouds.,11,200.0,59.0,1008.0,5,1522.06,8.27,76.08,0.26,54.36,76.49,99.8,14.19
2021-01-03 18:00:00,2021-01-03,18:00,28.0,Passing clouds.,11,190.0,74.0,1009.0,5,1134.87,7.15,52.09,0.46,39.58,52.94,68.06,11.15
2021-01-03 19:00:00,2021-01-03,19:00,28.0,Passing clouds.,11,200.0,74.0,1010.0,4,814.44,6.71,36.67,0.57,32.42,33.9,44.06,10.13
2021-01-03 20:00:00,2021-01-03,20:00,28.0,Passing clouds.,9,230.0,74.0,1010.0,4,687.6,7.6,30.85,0.43,30.04,26.31,34.88,11.15
2021-01-03 21:00:00,2021-01-03,21:00,27.0,Passing clouds.,7,260.0,79.0,1011.0,3,667.57,9.61,28.79,0.24,31.47,24.63,32.94,12.79
2021-01-03 22:00:00,2021-01-03,22:00,27.0,Passing clouds.,9,250.0,79.0,1011.0,4,700.95,12.07,29.13,0.13,34.81,25.71,34.39,13.93
2021-01-03 23:00:00,2021-01-03,23:00,26.0,Passing clouds.,7,240.0,84.0,1010.0,4,747.68,15.42,29.82,0.06,39.1,27.12,36.19,14.31
2021-01-04 00:00:00,2021-01-04,00:00,26.0,Passing clouds.,7,230.0,84.0,1010.0,4,921.25,20.56,29.82,0.59,45.3,31.82,42.7,15.71
2021-01-04 01:00:00,2021-01-04,01:00,26.0,Passing clouds.,6,210.0,84.0,1010.0,4,1134.87,29.06,30.5,7.24,56.74,35.54,47.18,15.33
2021-01-04 02:00:00,2021-01-04,02:00,25.0,Passing clouds.,6,0.0,89.0,1009.0,4,1281.74,34.87,37.01,16.63,70.57,40.24,52.91,15.96
2021-01-04 03:00:00,2021-01-04,03:00,25.0,Passing clouds.,6,310.0,94.0,1008.0,4,1321.79,33.98,51.41,32.54,86.78,47.9,62.07,16.72
2021-01-04 04:00:00,2021-01-04,04:00,25.0,Passing clouds.,7,20.0,89.0,1009.0,4,781.06,9.28,38.73,70.81,50.55,30.45,38.42,8.36
2021-01-04 05:00:00,2021-01-04,05:00,24.0,Passing clouds.,6,50.0,89.0,1010.0,4,660.9,5.2,33.59,84.4,46.25,26.86,32.88,6.78
2021-01-04 06:00:00,2021-01-04,06:00,24.0,Passing clouds.,2,0.0,89.0,1010.0,4,667.57,3.05,33.24,92.98,49.11,28.5,33.91,6.46
2021-01-04 07:00:00,2021-01-04,07:00,24.0,Partly sunny.,7,10.0,83.0,1011.0,3,620.84,0.78,33.24,86.55,45.78,25.0,30.19,5.89
2021-01-04 08:00:00,2021-01-04,08:00,26.0,Scattered clouds.,11,20.0,70.0,1011.0,3,627.52,0.46,36.33,77.96,48.16,23.58,29.48,6.21
2021-01-04 09:00:00,2021-01-04,09:00,28.0,Scattered clouds.,6,0.0,62.0,1012.0,3,620.84,0.2,36.33,66.52,46.25,20.38,26.93,6.14
2021-01-04 10:00:00,2021-01-04,10:00,29.0,Scattered clouds.,6,50.0,55.0,1012.0,2,734.33,0.08,42.16,45.78,47.68,19.87,28.45,7.16
2021-01-04 11:00:00,2021-01-04,11:00,30.0,Passing clouds.,4,0.0,52.0,1011.0,3,921.25,0.05,52.09,26.11,54.84,24.38,35.09,8.99
2021-01-04 12:00:00,2021-01-04,12:00,33.0,Passing clouds.,6,0.0,44.0,1010.0,4,1054.76,0.4,58.95,14.13,61.99,30.74,43.15,11.02
2021-01-04 13:00:00,2021-01-04,13:00,33.0,Passing clouds.,7,50.0,41.0,1008.0,4,1228.33,3.35,65.12,4.02,71.53,40.25,54.45,13.05
2021-01-04 14:00:00,2021-01-04,14:00,32.0,Scattered clouds.,9,60.0,46.0,1007.0,5,1401.9,13.08,67.17,0.14,82.02,51.75,67.8,14.82
2021-01-04 15:00:00,2021-01-04,15:00,32.0,Scattered clouds.,11,60.0,46.0,1007.0,5,1562.12,23.25,68.55,0.01,89.65,62.86,80.99,15.58
2021-01-04 16:00:00,2021-01-04,16:00,32.0,Scattered clouds.,11,80.0,49.0,1007.0,5,1668.93,30.85,69.92,0.0,93.46,71.31,90.36,15.07
2021-01-04 17:00:00,2021-01-04,17:00,31.0,Partly sunny.,13,100.0,52.0,1008.0,5,1615.52,35.32,69.23,0.0,94.41,71.78,88.23,12.54
2021-01-04 18:00:00,2021-01-04,18:00,30.0,Passing clouds.,9,90.0,55.0,1009.0,5,1361.85,30.85,63.06,0.0,82.97,61.65,73.58,9.12
2021-01-04 19:00:00,2021-01-04,19:00,28.0,Sprinkles. Partly cloudy.,7,110.0,84.0,1009.0,4,1001.36,19.45,50.04,0.02,57.22,45.73,54.48,6.97
2021-01-04 20:00:00,2021-01-04,20:00,27.0,Partly cloudy.,17,40.0,79.0,1010.0,4,794.41,16.09,40.44,0.04,45.78,36.08,43.88,6.97
2021-01-04 21:00:00,2021-01-04,21:00,27.0,Partly cloudy.,9,60.0,79.0,1011.0,4,700.95,14.53,35.99,0.07,42.44,30.78,38.15,7.28
2021-01-04 22:00:00,2021-01-04,22:00,26.0,Partly cloudy.,9,20.0,84.0,1011.0,4,680.92,13.86,34.96,0.1,41.96,28.19,34.38,6.71
2021-01-04 23:00:00,2021-01-04,23:00,25.0,Partly cloudy.,2,0.0,89.0,1010.0,4,707.63,16.76,33.93,0.05,46.25,26.83,32.49,6.46
2021-01-05 00:00:00,2021-01-05,00:00,26.0,Passing clouds.,9,10.0,79.0,1010.0,4,921.25,25.26,34.62,0.08,56.27,32.23,39.55,7.92
2021-01-05 01:00:00,2021-01-05,01:00,25.0,Passing clouds.,7,30.0,83.0,1010.0,4,1321.79,39.34,38.04,1.86,72.48,42.81,53.69,10.77
2021-01-05 02:00:00,2021-01-05,02:00,25.0,Passing clouds.,4,0.0,83.0,1009.0,5,1615.52,54.09,41.81,6.08,92.51,52.91,68.12,14.57
2021-01-05 03:00:00,2021-01-05,03:00,25.0,Warm.,7,10.0,83.0,1009.0,5,1789.09,59.01,56.21,15.2,116.35,64.1,83.86,17.99
2021-01-05 04:00:00,2021-01-05,04:00,,,,,,,4,1054.76,17.21,50.04,60.08,73.43,40.75,51.89,9.75
2021-01-05 05:00:00,2021-01-05,05:00,24.0,Passing clouds.,6,0.0,83.0,1010.0,4,734.33,5.48,33.59,101.57,52.45,30.51,37.82,6.4
2021-01-05 06:00:00,2021-01-05,06:00,24.0,Passing clouds.,6,30.0,83.0,1010.0,3,560.76,2.54,21.42,111.58,37.19,21.51,26.54,4.62
2021-01-05 07:00:00,2021-01-05,07:00,24.0,Passing clouds.,4,0.0,89.0,1011.0,2,500.68,2.26,18.51,100.14,30.52,15.34,18.87,3.99
2021-01-05 08:00:00,2021-01-05,08:00,26.0,Passing clouds.,7,60.0,79.0,1012.0,2,520.71,2.6,21.94,92.98,33.85,14.76,18.07,4.31
2021-01-05 09:00:00,2021-01-05,09:00,28.0,Passing clouds.,7,20.0,70.0,1012.0,2,554.09,2.52,25.71,83.69,36.24,14.45,18.05,4.69
2021-01-05 10:00:00,2021-01-05,10:00,30.0,Scattered clouds.,4,0.0,62.0,1012.0,2,747.68,2.57,41.13,62.94,47.68,18.2,23.5,6.9
2021-01-05 11:00:00,2021-01-05,11:00,31.0,Scattered clouds.,4,0.0,55.0,1011.0,4,1054.76,0.63,65.12,30.04,64.85,26.09,34.52,10.26
2021-01-05 12:00:00,2021-01-05,12:00,31.0,Scattered clouds.,6,0.0,55.0,1010.0,4,1268.39,1.34,77.46,9.03,75.34,35.14,47.03,13.3
2021-01-05 13:00:00,2021-01-05,13:00,31.0,Scattered clouds.,2,0.0,55.0,1009.0,5,1682.28,10.28,80.2,0.59,80.11,52.47,70.98,18.24
2021-01-05 14:00:00,2021-01-05,14:00,32.0,Broken clouds.,6,0.0,49.0,1008.0,5,2056.12,21.46,75.4,0.01,77.25,70.58,95.64,21.28
2021-01-05 15:00:00,2021-01-05,15:00,31.0,Broken clouds.,7,60.0,49.0,1008.0,5,2189.64,26.15,69.23,0.0,70.57,80.07,107.87,20.77
2021-01-05 16:00:00,2021-01-05,16:00,30.0,Broken clouds.,11,130.0,66.0,1008.0,5,2056.12,26.82,62.38,0.0,61.99,77.76,104.58,18.49
2021-01-05 17:00:00,2021-01-05,17:00,28.0,Partly sunny.,11,190.0,79.0,1009.0,5,1762.39,25.03,56.21,0.01,55.31,65.27,89.28,16.09
2021-01-05 18:00:00,2021-01-05,18:00,28.0,Passing clouds.,6,0.0,79.0,1010.0,5,1361.85,21.01,48.67,0.01,50.07,50.25,71.03,14.31
2021-01-05 19:00:00,2021-01-05,19:00,,,,,,,4,1188.28,20.12,42.16,0.01,43.87,46.17,65.6,15.07
2021-01-05 20:00:00,2021-01-05,20:00,,,,,,,5,1255.04,24.36,37.7,0.0,40.53,52.96,73.59,16.97
2021-01-05 21:00:00,2021-01-05,21:00,27.0,Passing clouds.,9,340.0,89.0,1010.0,5,1335.14,29.5,34.96,0.0,41.96,60.06,81.65,17.73
2021-01-05 22:00:00,2021-01-05,22:00,27.0,Passing clouds.,9,30.0,70.0,1010.0,5,1401.9,35.32,33.24,0.0,44.82,66.21,88.53,18.49
2021-01-05 23:00:00,2021-01-05,23:00,26.0,Passing clouds.,9,50.0,74.0,1010.0,5,1468.66,40.23,31.87,0.0,48.64,69.1,91.22,17.99
2021-01-06 00:00:00,2021-01-06,00:00,26.0,Passing clouds.,7,50.0,74.0,1010.0,5,1815.8,50.96,32.56,0.14,59.13,79.3,103.3,19.0
2021-01-06 01:00:00,2021-01-06,01:00,25.0,Passing clouds.,7,60.0,79.0,1009.0,5,1869.2,62.59,37.36,2.73,84.88,75.26,96.98,18.24
2021-01-06 02:00:00,2021-01-06,02:00,25.0,Passing clouds.,9,50.0,79.0,1009.0,5,2323.15,81.36,51.41,7.51,117.3,92.24,116.93,22.29
2021-01-06 03:00:00,2021-01-06,03:00,25.0,Passing clouds.,11,70.0,79.0,1008.0,5,2616.88,87.62,91.85,18.6,165.94,124.4,153.69,26.35
2021-01-06 04:00:00,2021-01-06,04:00,25.0,Passing clouds.,9,50.0,74.0,1009.0,5,1388.55,24.14,78.14,65.09,100.14,78.31,95.61,12.41
2021-01-06 05:00:00,2021-01-06,05:00,25.0,Passing clouds.,9,50.0,74.0,1009.0,5,1068.12,9.72,64.43,95.84,81.06,66.18,79.7,9.12
2021-01-06 06:00:00,2021-01-06,06:00,24.0,Passing clouds.,6,60.0,78.0,1009.0,5,1041.41,5.98,63.06,101.57,82.97,62.02,74.92,8.87
2021-01-06 07:00:00,2021-01-06,07:00,26.0,Scattered clouds.,7,60.0,74.0,1010.0,5,961.3,4.08,57.58,97.28,76.29,51.77,63.3,8.23
2021-01-06 08:00:00,2021-01-06,08:00,27.0,Scattered clouds.,7,90.0,70.0,1011.0,4,894.55,3.38,53.47,94.41,71.53,45.69,56.3,7.92
2021-01-06 09:00:00,2021-01-06,09:00,28.0,Scattered clouds.,11,100.0,66.0,1011.0,4,854.49,2.4,51.41,90.84,66.76,40.18,50.34,7.92
2021-01-06 10:00:00,2021-01-06,10:00,29.0,Passing clouds.,9,100.0,62.0,1011.0,4,1121.52,2.01,75.4,59.37,84.88,42.55,54.83,11.78
2021-01-06 11:00:00,2021-01-06,11:00,30.0,Scattered clouds.,7,60.0,59.0,1011.0,5,1562.12,1.82,108.3,13.23,106.81,52.15,68.65,17.48
2021-01-06 12:00:00,2021-01-06,12:00,30.0,Scattered clouds.,2,0.0,59.0,1009.0,5,1655.58,10.95,94.59,0.37,98.23,56.14,76.38,20.27
2021-01-06 13:00:00,2021-01-06,13:00,31.0,Partly sunny.,6,0.0,49.0,1008.0,5,1575.47,19.67,65.8,0.03,79.16,54.6,77.28,19.51
2021-01-06 14:00:00,2021-01-06,14:00,32.0,Partly sunny.,6,0.0,52.0,1007.0,5,1535.42,24.81,56.21,0.01,74.39,55.16,79.4,17.99
2021-01-06 15:00:00,2021-01-06,15:00,32.0,Partly sunny.,6,0.0,46.0,1006.0,5,1468.66,26.6,54.15,0.0,73.43,55.93,80.33,16.47
2021-01-06 16:00:00,2021-01-06,16:00,31.0,Partly sunny.,6,0.0,52.0,1006.0,5,1361.85,26.6,51.41,0.0,69.62,53.75,76.17,14.69
2021-01-06 17:00:00,2021-01-06,17:00,31.0,Partly sunny.,4,0.0,52.0,1007.0,5,1321.79,29.5,51.41,0.0,69.62,53.05,74.26,13.43
2021-01-06 18:00:00,2021-01-06,18:00,29.0,Passing clouds.,9,190.0,74.0,1008.0,5,1268.39,28.39,52.78,0.0,65.8,51.91,72.67,12.67
2021-01-06 19:00:00,2021-01-06,19:00,29.0,Passing clouds.,7,180.0,74.0,1008.0,5,1201.63,26.82,51.41,0.0,60.08,51.14,71.19,12.41
2021-01-06 20:00:00,2021-01-06,20:00,28.0,Passing clouds.,6,0.0,79.0,1009.0,5,1148.22,29.06,46.61,0.0,57.22,51.26,70.66,12.03
2021-01-06 21:00:00,2021-01-06,21:00,28.0,Passing clouds.,11,120.0,79.0,1009.0,5,1081.47,31.74,42.5,0.0,57.7,50.85,68.93,11.15
2021-01-06 22:00:00,2021-01-06,22:00,27.0,Passing clouds.,7,70.0,84.0,1009.0,4,1014.71,32.63,38.04,0.0,57.22,48.29,64.85,10.26
2021-01-06 23:00:00,2021-01-06,23:00,27.0,Passing clouds.,4,80.0,74.0,1009.0,4,974.66,33.53,34.62,0.0,57.7,45.52,60.71,10.51
2021-01-07 00:00:00,2021-01-07,00:00,26.0,Passing clouds.,6,10.0,79.0,1009.0,5,1161.58,39.34,33.93,0.28,62.94,50.76,67.04,13.05
2021-01-07 01:00:00,2021-01-07,01:00,26.0,Passing clouds.,6,50.0,79.0,1009.0,5,1361.85,44.7,34.27,5.1,72.48,52.94,69.0,14.44
2021-01-07 02:00:00,2021-01-07,02:00,26.0,Passing clouds.,6,30.0,79.0,1008.0,5,1562.12,50.96,43.53,13.41,91.55,59.28,77.08,17.23
2021-01-07 03:00:00,2021-01-07,03:00,25.0,Passing clouds.,7,80.0,89.0,1008.0,5,1789.09,50.07,72.66,31.11,123.98,77.65,99.76,20.77
2021-01-07 04:00:00,2021-01-07,04:00,25.0,Passing clouds.,6,100.0,89.0,1008.0,5,1068.12,16.76,54.15,79.39,81.06,50.98,63.43,11.15
2021-01-07 05:00:00,2021-01-07,05:00,24.0,Passing clouds.,6,80.0,89.0,1008.0,5,821.11,6.99,38.73,130.18,64.85,51.19,60.75,8.04
2021-01-07 06:00:00,2021-01-07,06:00,24.0,Passing clouds.,6,50.0,94.0,1009.0,5,707.63,3.07,27.08,180.24,54.84,57.8,67.21,6.59
2021-01-07 07:00:00,2021-01-07,07:00,25.0,Scattered clouds.,7,50.0,89.0,1010.0,4,614.17,1.93,22.28,185.97,45.78,49.07,56.99,5.64
2021-01-07 08:00:00,2021-01-07,08:00,27.0,Scattered clouds.,6,0.0,74.0,1010.0,4,594.14,1.73,25.02,165.94,43.87,38.24,45.5,5.76
2021-01-07 09:00:00,2021-01-07,09:00,29.0,Passing clouds.,6,0.0,70.0,1010.0,4,574.11,1.27,27.76,144.48,38.62,28.76,36.32,6.08
2021-01-07 10:00:00,2021-01-07,10:00,30.0,Passing clouds.,6,0.0,59.0,1010.0,4,821.11,1.31,48.67,101.57,50.07,30.09,41.31,9.63
2021-01-07 11:00:00,2021-01-07,11:00,32.0,Passing clouds.,6,60.0,46.0,1009.0,4,1094.82,0.22,59.63,54.36,57.22,35.95,52.84,12.92
2021-01-07 12:00:00,2021-01-07,12:00,34.0,Passing clouds.,6,0.0,36.0,1008.0,4,1148.22,0.07,55.52,26.11,52.45,39.51,60.82,14.44
2021-01-07 13:00:00,2021-01-07,13:00,34.0,Scattered clouds.,11,40.0,36.0,1007.0,4,1148.22,0.85,52.78,11.62,50.07,41.79,65.36,14.95
2021-01-07 14:00:00,2021-01-07,14:00,34.0,Scattered clouds.,7,50.0,34.0,1006.0,4,1228.33,7.1,57.58,1.52,63.9,47.79,72.95,16.21
2021-01-07 15:00:00,2021-01-07,15:00,33.0,Scattered clouds.,6,0.0,38.0,1006.0,5,1468.66,24.36,65.8,0.0,90.6,62.49,90.48,19.76
2021-01-07 16:00:00,2021-01-07,16:00,31.0,Partly sunny.,17,170.0,59.0,1006.0,5,1869.2,33.08,78.83,0.0,84.88,84.04,118.92,22.8
